price,area,bathroom,bhk,balconies
0.017024163568773235,0.017750000000000002,0.2222222222222222,0.25,0.0
0.020631970260223047,0.018500000000000003,0.2222222222222222,0.25,0.0
0.009163568773234201,0.012083333333333333,0.1111111111111111,0.125,0.0
0.014126394052044609,0.015000000000000001,0.2222222222222222,0.25,0.25
0.01486988847583643,0.016666666666666666,0.1111111111111111,0.25,0.125
0.030483271375464683,0.018333333333333333,0.2222222222222222,0.25,0.25
0.040892193308550186,0.025833333333333333,0.3333333333333333,0.375,0.25
0.04275092936802974,0.03666666666666667,0.3333333333333333,0.375,0.25
0.7434944237918215,0.18833333333333335,0.0,0.0,0.0
0.030855018587360592,0.024166666666666666,0.3333333333333333,0.375,0.0
0.11152416356877323,0.08333333333333334,0.4444444444444444,0.5,0.0
0.016728624535315983,0.015000000000000001,0.2222222222222222,0.25,0.0
0.01598513011152416,0.017033333333333334,0.2222222222222222,0.125,0.25
0.05018587360594795,0.04348333333333333,0.3333333333333333,0.375,0.25
0.012178438661710037,0.0105,0.1111111111111111,0.125,0.0
0.026189591078066912,0.023483333333333335,0.3333333333333333,0.375,0.0
0.020446096654275093,0.023333333333333334,0.2222222222222222,0.25,0.0
0.022304832713754646,0.02666666666666667,0.3333333333333333,0.375,0.0
0.04275092936802974,0.044333333333333336,0.4444444444444444,0.5,0.0
0.034367936802973974,0.01916666666666667,0.2222222222222222,0.25,0.0
0.036475408921933086,0.020416666666666666,0.2222222222222222,0.25,0.0
0.0634920408921933,0.037366666666666666,0.4444444444444444,0.375,0.0
0.011524163568773234,0.01,0.1111111111111111,0.125,0.125
0.01486988847583643,0.023333333333333334,0.2222222222222222,0.25,0.25
0.0033457249070631967,0.09166666666666667,0.0,0.0,0.0
0.048076394052044606,0.049550000000000004,0.0,0.0,0.0
0.06245353159851301,0.07,0.0,0.0,0.0
0.05724907063197026,0.08021666666666667,0.0,0.0,0.0
0.06256505576208178,0.085,0.0,0.0,0.0
0.07843866171003717,0.03666666666666667,0.3333333333333333,0.375,0.0
0.05204460966542751,0.0245,0.3333333333333333,0.375,0.0
0.00929368029739777,0.009166666666666667,0.0,0.125,0.0
0.013754646840148698,0.00775,0.0,0.125,0.125
0.013754646840148698,0.006666666666666667,0.1111111111111111,0.125,0.125
